guild_master,member29,member20,member3,member5,member28,member27,member26,member2,member15,member17,member9,member7,member6,member21,member8,member22,member18,member25,member12,description,member24,member30,member19,guild_name,guild_id,member11,member13,member16,member23,member1,member14,member10,member4
1033,0,0,1038,1123,0,0,0,1052,0,0,1807,1128,1127,0,1158,0,0,0,1254,位于山上的牧场公会。其活动内容是饲养牧场的牛马等牲畜，同时也是兽人们度假郊游的场所、病人的疗养地。,0,0,0,伊丽莎白牧场,11,1235,0,0,0,1033,0,1192,1026
1032,0,0,1034,1267,0,0,0,1048,1251,0,1144,1268,1080,0,1079,0,0,0,1169,掌握着庞大的资金，在各行各业进行融资和收购的公会。真实目的是惩罚那些赚取不义之财的商人。,0,0,0,墨丘利财团,12,1168,1222,0,0,1032,1809,1146,1046
1056,0,0,1027,1009,0,0,0,1051,1237,0,1133,1131,1090,0,1132,0,0,0,1208,基于某个目的组建而成、危险的委托也照样接受的万事屋公会。几乎所有的成员都拥有异名，据说是兰德索尔中最危险的公会。,0,1299,0,暮光流星群,13,1175,1247,1276,0,1056,1219,1170,1013
1018,0,0,1016,1100,0,0,0,1050,0,0,1214,1179,1101,0,1190,0,0,0,0,兰德索尔的学校之一，是公会管理协会管理的公立教育机关。因为是公共学校，上学的学生年龄、种族、学习能力都参差不齐。,0,0,0,月光学院,14,1329,0,0,0,1018,0,1273,1083
1053,0,0,1030,1055,0,0,0,1008,1263,0,1142,1096,1095,0,1130,0,0,0,1191,由莫妮卡担任会长的公会。总是因为成员们犯迷糊而招致各种危机，又由他们亲自华丽地解决问题。,0,1332,0,纯白之翼 兰德索尔分部,15,1178,1215,1270,0,1053,1252,1176,1045
1110,0,0,1109,1163,0,0,0,1108,0,0,1295,1293,1164,0,1294,0,0,0,0,以通过奖学金审查为目的，为了展示审查通过的条件「亲和性高的团体」而组成的新型社团类公会。,0,0,0,圣特蕾莎女子学院（好朋友社）,16,0,0,0,0,1110,0,0,1162
1067,0,0,1066,1166,0,0,0,1065,0,0,1283,1245,1216,0,1249,0,0,0,0,为了发现和保护珍稀种族龙族而组成的公会。其成员都在各地进行探索，但黑色传闻不断，声称他们背后与暗黑势力勾结。,0,0,0,龙族据点,17,0,0,0,0,1067,0,1318,1165
1180,0,0,0,0,0,0,0,1280,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,里士满商工会,18,0,0,0,0,1180,0,0,0
1923,0,0,1269,1343,0,0,0,1233,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,愤怒军团,19,0,0,0,0,1181,0,0,1311
1258,0,0,1261,0,0,0,0,1260,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,幻变少女,20,0,0,0,0,1258,0,0,1316
1300,0,0,1302,0,0,0,0,1301,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,班迪姐妹,21,0,0,0,0,1300,0,0,0
1323,0,0,0,0,0,0,0,1325,0,0,0,0,0,0,0,0,0,0,0,为完成禁断秘药而奋斗的炼金术公会。由脑洞大开的天才炼金术师露易丝玛丽、钟爱锹形虫的美女剑士彩羽，以及懒惰的儿童店长苑组成的三人组。,0,0,0,阿尔凯斯炼金堂,22,0,0,0,0,1323,0,0,0
1124,0,0,1126,0,0,0,0,1125,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,New Generations,100,0,0,0,0,1124,0,0,0
